,danceability,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo,year,release_date,track_id
78,0.778,0.555,-7.058,0.0308,0.000196,0.0693,0.491,117.957,,,
79,0.705,0.769,-5.526,0.0425,0.0,0.105,0.583,107.949,,,
80,0.585,0.564,-7.063,0.0515,0.0,0.135,0.137,113.003,,,
81,0.782,0.685,-6.237,0.0309,1.18e-05,0.16,0.603,118.016,,,
82,0.838,0.72,-4.135,0.0483,0.00696,0.0772,0.203,122.993,,,
83,0.729,0.675,-6.003,0.0312,1.58e-06,0.55,0.779,119.968,,,
84,0.414,0.857,-4.078,0.0808,0.00574,0.343,0.348,128.024,,,
85,0.641,0.922,-4.457,0.0786,0.0,0.0862,0.847,146.078,,,
86,0.596,0.856,-3.556,0.0346,0.0178,0.141,0.743,127.949,,,
87,0.773,0.758,-4.993,0.0381,0.0,0.305,0.925,144.033,,,
88,0.399,0.787,-2.88,0.0499,6.07e-05,0.0685,0.572,117.089,,,
89,0.792,0.717,-4.759,0.0393,3.59e-05,0.226,0.466,121.985,,,
90,0.852,0.529,-8.156,0.0559,0.00615,0.0291,0.203,104.996,,,
91,0.612,0.807,-2.81,0.0336,0.0177,0.101,0.398,124.053,,,
92,0.659,0.291,-8.275,0.0348,0.0,0.0771,0.406,119.829,,,
93,0.457,0.757,-5.177,0.032,0.0,0.146,0.417,102.961,,,
94,0.685,0.474,-9.105,0.0313,1.23e-06,0.149,0.36,79.991,,,
95,0.484,0.731,-6.694,0.0379,0.0,0.151,0.51,101.654,,,
96,0.714,0.451,-8.268,0.0276,0.0,0.108,0.406,127.787,,,
97,0.715,0.715,-7.364,0.0902,0.0,0.0936,0.507,134.922,,,
98,0.581,0.0549,-20.514,0.0397,0.0,0.0718,0.234,152.037,,,
99,0.479,0.53,-6.862,0.0423,4.06e-05,0.111,0.459,106.909,,,
100,0.526,0.328,-9.864,0.0461,0.0,0.112,0.11,116.068,,,
101,0.564,0.923,-3.843,0.0325,0.0,0.277,0.587,141.991,,,
102,0.855,0.587,-4.589,0.0336,0.00714,0.105,0.64,111.97,,,
103,0.835,0.687,-3.18,0.184,0.0,0.132,0.828,94.059,,,
104,0.778,0.824,-5.892,0.0707,0.0,0.405,0.758,100.024,,,
105,0.646,0.72,-7.063,0.206,7.61e-06,0.0556,0.64,99.259,,,
106,0.646,0.696,-5.572,0.342,0.0,0.0762,0.625,92.88,,,
107,0.875,0.631,-3.475,0.099,2.54e-06,0.127,0.549,120.002,,,
108,0.944,0.511,-10.96,0.161,0.00107,0.0379,0.842,113.046,,,
109,0.745,0.466,-7.62,0.0864,0.35,0.272,0.303,123.889,,,
110,0.766,0.563,-7.516,0.0339,0.683,0.115,0.964,126.007,,,
111,0.865,0.521,-6.932,0.0371,0.000115,0.0989,0.748,129.059,,,
112,0.434,0.872,-2.974,0.0702,1.83e-06,0.396,0.732,71.515,,,
113,0.793,0.859,-3.774,0.0332,0.000356,0.133,0.964,129.911,,,
114,0.677,0.682,-6.879,0.0361,0.0,0.0351,0.875,106.279,,,
115,0.951,0.6,-4.675,0.0685,0.0,0.0712,0.822,125.04,,,
116,0.288,0.758,-5.692,0.0371,0.0,0.303,0.619,97.094,,,
117,0.949,0.661,-4.244,0.0572,0.0,0.0454,0.76,104.504,,,
118,0.915,0.656,-2.827,0.0716,0.0,0.324,0.642,112.243,,,
119,0.668,0.824,-4.164,0.137,3.05e-06,0.0426,0.185,163.961,,,
120,0.746,0.922,-5.014,0.236,0.0,0.515,0.638,86.961,,,
121,0.366,0.94,-5.119,0.0696,9.42e-05,0.188,0.369,130.198,,,
122,0.446,0.533,-5.955,0.046,3.26e-06,0.332,0.58,183.81,,,
123,0.566,0.664,-5.303,0.0464,0.0,0.116,0.437,128.945,,,
124,0.445,0.537,-8.532,0.04,1.65e-05,0.0944,0.131,122.769,,,
125,0.509,0.538,-7.335,0.0572,0.0,0.104,0.244,75.089,,,
126,0.602,0.905,-4.046,0.0775,0.064,0.117,0.411,128.019,,,
127,0.502,0.417,-7.665,0.0718,0.00419,0.106,0.218,180.301,,,
128,0.467,0.774,-6.569,0.0485,0.289,0.108,0.0916,135.006,,,
129,0.536,0.944,-3.029,0.0867,0.00345,0.353,0.589,174.031,,,
